Time,Distance,GPS Latitude,GPS Longitude,Damper Velocity (Calc) FL,Damper Velocity (Calc) FR,Damper Velocity (Calc) RL,Damper Velocity (Calc) RR,Corr Dist,Corr Dist (Unstretched),Corr Speed,ABS Active,ABS Enabled,AID Allow Tire Blankets,AID Auto Blip,AID Auto Clutch,AID Auto Shift,AID Fuel Rate,AID Ideal Line,AID Mech Damage,AID Stability,AID Tire Wear Rate,Air Density,Air Temp,Ballast,Best Lap Delta,Best Lap Time,Brake Bias,Brake Pos,Brake Temp FL,Brake Temp FR,Brake Temp RL,Brake Temp RR,CG Accel Lateral,CG Accel Longitudinal,CG Accel Vertical,CG Height,Camber FL,Camber FR,Camber RL,Camber RR,Car Coord X,Car Coord Y,Car Coord Z,Car Damage Front,Car Damage Left,Car Damage Rear,Car Damage Right,Car Pos Norm,Caster FL,Caster FR,Chassis Pitch Angle,Chassis Pitch Rate,Chassis Roll Angle,Chassis Roll Rate,Chassis Velocity X,Chassis Velocity Y,Chassis Velocity Z,Chassis Yaw Rate,Clutch Pos,DRS Active,DRS Available,Drive Train Speed,ERS Heat Charging,ERS Is Charging,ERS Max Energy,ERS Power Level,ERS Recovery Level,Engine Brake Setting,Engine Limiter,Engine RPM,Flags,Fuel Level,Gear,Ground Speed,HR Sample Clock,In Pit,KERS Charge,KERS Deployed Energy,KERS Input,KERS Max Energy,LR Sample Clock,Lap Invalidated,Lap Time,Lap Time2,Last Lap Time,Last Sector Time,MR Sample Clock,Max Fuel,Max Power,Max RPM,Max Sus Travel FL,Max Sus Travel FR,Max Sus Travel RL,Max Sus Travel RR,Max Torque,Max Turbo Boost,Num Tires Off Track,Penalties Enabled,Position,Raw Data Sample Rate,Ride Height FL,Ride Height FR,Ride Height RL,Ride Height RR,Road Temp,Self Align Torque FL,Self Align Torque FR,Self Align Torque RL,Self Align Torque RR,Session Lap Count,Session Time Left,Steering Angle,Surface Grip,Suspension Travel FL,Suspension Travel FR,Suspension Travel RL,Suspension Travel RR,TC Active,TC Enabled,Throttle Pos,Tire Dirt Level FL,Tire Dirt Level FR,Tire Dirt Level RL,Tire Dirt Level RR,Tire Load FL,Tire Load FR,Tire Load RL,Tire Load RR,Tire Loaded Radius FL,Tire Loaded Radius FR,Tire Loaded Radius RL,Tire Loaded Radius RR,Tire Pressure FL,Tire Pressure FR,Tire Pressure RL,Tire Pressure RR,Tire Radius FL,Tire Radius FR,Tire Radius RL,Tire Radius RR,Tire Rubber Grip FL,Tire Rubber Grip FR,Tire Rubber Grip RL,Tire Rubber Grip RR,Tire Slip Angle FL,Tire Slip Angle FR,Tire Slip Angle RL,Tire Slip Angle RR,Tire Slip Ratio FL,Tire Slip Ratio FR,Tire Slip Ratio RL,Tire Slip Ratio RR,Tire Temp Core FL,Tire Temp Core FR,Tire Temp Core RL,Tire Temp Core RR,Tire Temp Inner FL,Tire Temp Inner FR,Tire Temp Inner RL,Tire Temp Inner RR,Tire Temp Middle FL,Tire Temp Middle FR,Tire Temp Middle RL,Tire Temp Middle RR,Tire Temp Outer FL,Tire Temp Outer FR,Tire Temp Outer RL,Tire Temp Outer RR,Toe In FL,Toe In FR,Toe In RL,Toe In RR,Turbo Boost,Wheel Angular Speed FL,Wheel Angular Speed FR,Wheel Angular Speed RL,Wheel Angular Speed RR,Wind Direction,Wind Speed,CG Distance,Lateral Velocity,Longitudinal Velocity,Lateral Acceleration,Longitudinal Acceleration
s,m,deg,deg,mm/s,mm/s,mm/s,mm/s,m,m,km/h,,,,,,,,,%,%,,kg/m3,C,kg,s,s,%,%,C,C,C,C,G,G,G,mm,deg,deg,deg,deg,m,m,m,,,,,,deg,deg,deg,deg/s,deg,deg/s,m/s,m/s,m/s,deg/s,%,,,rad/s,,,MJ,,,,,rpm,,l,,km/h,,,%,kJ,%,MJ,,,s,s,s,s,,l,hp,rpm,mm,mm,mm,mm,N.m,,,,,Hz,mm,mm,mm,mm,C,N.m,N.m,N.m,N.m,,s,deg,%,mm,mm,mm,mm,,,%,,,,,N,N,N,N,mm,mm,mm,mm,psi,psi,psi,psi,mm,mm,mm,mm,%,%,%,%,deg,deg,deg,deg,%,%,%,%,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,deg,deg,deg,deg,,rad/s,rad/s,rad/s,rad/s,deg,km/h,G,Km/h,Km/h,Km/h^2,Km/h^2
0.000,0.0,44.054635389107105,-78.681938160332606,-66.6,-68.8,108.2,58.4,8537.7,8538,107.3,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.000,57.136,66.0,0.0,26.0,26.0,26.0,26.0,0.31,0.69,0.13,383.4,-2.44,-2.71,-1.84,-1.19,-737.48,691.34,5.7,0.00,0.00,0.00,0.00,0.00,-7.49,-7.49,-0.22,-0.54,0.28,2.55,29.81,0.13,-0.17,-6.09,100.0,0,0,86.11,0,0,0.0,0,0,0,0,7400,0,30.00,2,107.3,0,0,0.0,0.0,0.0,0.0,1,0,0.020,0.020,57.308,23.012,0,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,333.3,81.6,81.6,67.8,67.8,34.0,8.28,19.24,6.6,51.3,5,-354.560,-11.5,100.0,14.6,16.4,33.9,39.1,0,1,100.0,0.00,0.00,0.00,0.00,2559,2099,5231,5982,318.6,319.0,341.8,339.2,25.43,22.07,26.07,24.17,325.0,325.0,355.0,355.0,99.94,100.00,99.94,100.00,0.58,0.60,0.42,0.60,-0.1,-0.1,3.3,2.5,84.9,63.9,82.7,70.8,98.9,68.4,93.6,77.9,94.8,65.7,91.9,75.3,92.0,64.8,91.3,74.2,-0.66,0.66,0.07,0.04,0.00,91.21,91.70,86.10,86.11,152.3,2.9,0.7675285010994706
0.050,1.5,44.054622888536784,-78.681934832842657,14.8,70.0,-23.0,1.5,8539.3,8539,108.3,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.015,57.136,66.0,0.0,26.0,26.0,26.0,26.0,0.32,0.56,-0.06,384.3,-2.39,-2.51,-1.92,-1.04,-737.11,689.95,5.7,0.00,0.00,0.00,0.00,0.00,-7.49,-7.49,-0.29,-1.11,0.49,1.73,30.09,0.12,-0.27,-6.72,100.0,0,0,87.88,0,0,0.0,0,0,0,0,7553,0,30.00,2,108.3,1,0,0.0,0.0,0.0,0.0,1,0,0.070,0.070,57.308,23.012,1,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,333.3,78.1,78.1,67.8,67.8,34.0,2.67,45.60,2.7,28.3,5,-354.610,-11.2,100.0,15.4,19.9,32.8,39.1,0,1,100.0,0.00,0.00,0.00,0.00,1161,4327,2969,4644,322.3,312.5,347.3,342.7,25.43,22.07,26.07,24.17,325.0,325.0,355.0,355.0,99.94,100.00,99.94,100.00,0.54,0.57,0.43,0.52,-0.1,-0.1,3.9,3.3,84.9,63.9,82.7,70.8,98.9,68.3,93.6,77.9,94.8,65.7,91.9,75.3,91.9,64.8,91.3,74.2,-0.65,0.64,0.07,0.05,0.00,91.87,92.62,87.88,87.88,152.3,2.9,0.647765389628066,106.59010643097548,29.168238617216968
0.100,3.0,44.054608769187567,-78.681930875827589,-11.6,-25.1,-66.8,-95.0,8540.8,8541,109.4,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.036,57.136,66.0,0.0,26.0,26.0,26.0,26.0,0.31,0.66,-0.09,385.8,-3.03,-2.68,-2.91,-1.53,-736.67,688.38,5.7,0.00,0.00,0.00,0.00,0.00,-7.49,-7.49,-0.32,0.11,0.44,1.04,30.42,0.16,-0.23,-6.79,100.0,0,0,88.83,0,0,0.0,0,0,0,0,7635,0,30.00,2,109.4,0,0,0.0,0.0,0.0,0.0,0,0,0.122,0.122,57.308,23.012,0,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,166.7,79.2,79.2,70.9,70.9,34.0,3.73,29.86,1.5,35.4,5,-354.660,-9.0,100.0,14.8,18.6,29.4,34.4,0,1,100.0,0.00,0.00,0.00,0.00,2352,3220,4871,4887,319.1,316.2,343.3,342.8,25.43,22.07,26.08,24.17,325.0,325.0,355.0,355.0,99.94,100.00,99.94,100.00,0.50,0.52,0.49,0.67,-0.1,-0.1,4.4,3.7,85.0,64.0,82.7,70.8,98.8,68.3,93.6,77.9,94.7,65.7,91.9,75.3,91.8,64.8,91.3,74.2,-0.54,0.53,0.08,0.06,0.00,93.00,93.63,88.83,88.84,152.3,2.9,0.7347108274688757,107.31030985818907,29.88844201597935,-43.21220534830232,-3.6010175628355867
0.150,4.6,44.054596088752923,-78.681927368473325,-25.8,-8.4,3.2,65.4,8542.3,8542,110.5,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.036,57.136,66.0,0.0,26.0,26.0,26.0,26.0,0.29,0.57,-0.24,387.2,-2.73,-1.84,-1.54,-1.55,-736.28,686.97,5.7,0.00,0.00,0.00,0.00,0.00,-7.49,-7.49,-0.37,-1.97,0.46,-3.15,30.72,0.16,-0.26,-5.84,100.0,0,0,89.65,0,0,0.0,0,0,0,0,7705,0,30.00,2,110.5,1,0,0.0,0.0,0.0,0.0,0,0,0.170,0.170,57.308,23.012,1,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,333.3,82.0,82.0,71.8,71.8,34.0,0.83,27.49,6.3,35.6,5,-354.710,-6.9,100.0,13.5,18.2,29.6,37.7,0,1,100.0,0.00,0.00,0.00,0.00,594,3392,3299,4649,323.3,315.7,347.0,342.3,25.44,22.07,26.08,24.17,325.0,325.0,355.0,355.0,99.94,100.00,99.94,100.00,0.50,0.48,0.52,0.63,-0.1,-0.1,3.9,3.3,85.0,64.0,82.7,70.8,98.7,68.3,93.6,77.9,94.6,65.7,91.9,75.3,91.8,64.8,91.3,74.2,-0.42,0.40,0.07,0.06,0.00,93.78,94.42,89.65,89.66,152.3,2.9,0.6830812543175225,102.26888589614525,28.80813686093341,-7.202034556647732,10.803050981435831
0.200,6.1,44.054583228453957,-78.681923681254744,-37.2,1.7,18.6,-94.0,8543.9,8544,111.6,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.054,57.136,66.0,0.0,26.0,26.0,26.0,26.0,0.29,0.61,0.01,386.0,-2.25,-2.55,-2.00,-1.85,-735.87,685.54,5.7,0.00,0.00,0.00,0.00,0.00,-7.49,-7.49,-0.49,-2.60,0.23,-4.42,31.02,0.15,-0.27,-4.54,100.0,0,0,90.33,0,0,0.0,0,0,0,0,7764,0,30.00,2,111.6,0,0,0.0,0.0,0.0,0.0,0,0,0.220,0.220,57.308,23.012,0,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,166.7,78.7,78.7,68.8,68.8,34.0,1.74,36.35,5.3,31.4,5,-354.760,-3.7,100.0,11.6,18.3,30.5,33.0,0,1,100.0,0.00,0.00,0.00,0.00,3123,4101,4508,4213,317.1,313.5,343.8,344.1,25.44,22.07,26.08,24.18,325.0,325.0,355.0,355.0,99.94,100.00,99.94,100.00,0.30,0.43,0.47,0.63,-0.1,-0.1,4.0,3.5,85.0,64.0,82.8,70.8,98.7,68.3,93.5,77.9,94.6,65.6,91.8,75.3,91.7,64.8,91.2,74.2,-0.23,0.24,0.07,0.07,0.00,94.91,95.24,90.33,90.33,152.3,2.9,0.6754998149518622,106.5901064025243,30.968747114122934,82.82339341828106,36.01017107616677
0.250,7.7,44.054569468833392,-78.681919634307519,54.5,-43.0,-29.6,-32.0,8545.4,8545,112.7,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.069,57.136,66.0,0.0,26.0,26.0,26.0,26.0,0.18,0.54,-0.28,389.7,-2.35,-2.83,-1.70,-1.49,-735.42,684.01,5.7,0.00,0.00,0.00,0.00,0.01,-7.49,-7.49,-0.59,-2.13,0.21,0.50,31.31,0.15,-0.27,-3.22,100.0,0,0,91.81,0,0,0.0,0,0,0,0,7890,0,30.00,2,112.7,1,0,0.0,0.0,0.0,0.0,0,0,0.270,0.270,57.308,23.012,1,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,333.3,82.4,82.4,77.4,77.4,34.0,-0.79,18.58,1.2,24.2,5,-354.810,-0.8,100.0,14.4,16.1,29.0,31.4,0,1,100.0,0.00,0.00,0.00,0.00,1279,2881,2355,4496,321.7,317.0,349.0,343.2,25.44,22.07,26.08,24.18,325.0,325.0,355.0,355.0,99.94,100.00,99.94,100.00,0.21,0.23,0.35,0.48,-0.1,-0.1,4.3,4.0,85.0,64.0,82.8,70.9,98.6,68.2,93.5,77.9,94.5,65.6,91.8,75.3,91.7,64.7,91.2,74.2,-0.07,0.06,0.08,0.05,0.00,95.79,96.11,91.81,91.81,152.3,2.9,0.6343500610861482,110.55122523797336,32.409153968550086,46.81322262662647,18.00508553808342
0.300,9.3,44.054555619280656,-78.681915587360294,26.5,20.4,9.7,41.9,8547.0,8547,113.9,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.087,57.136,66.0,0.0,26.0,26.0,26.0,26.0,0.17,0.67,0.16,384.8,-3.01,-2.71,-2.67,-1.63,-734.97,682.47,5.7,0.00,0.00,0.00,0.00,0.01,-7.49,-7.49,-0.64,-0.64,0.05,-3.57,31.65,0.14,-0.28,-1.83,100.0,0,0,91.67,0,0,0.0,0,0,0,0,7878,0,30.00,2,113.9,0,0,0.0,0.0,0.0,0.0,0,0,0.320,0.320,57.308,23.012,0,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,333.3,77.5,77.5,73.0,73.0,34.0,-16.62,18.25,-6.9,27.8,5,-354.860,1.9,100.0,15.7,17.1,29.5,33.5,0,1,100.0,0.00,0.00,0.00,0.00,4144,3155,5284,4193,315.3,315.9,342.2,343.3,25.44,22.07,26.09,24.18,325.0,325.0,355.0,355.0,99.94,100.00,99.94,100.00,0.05,0.15,0.27,0.48,-0.1,-0.1,3.5,3.2,85.0,64.0,82.8,70.9,98.5,68.2,93.5,77.9,94.4,65.6,91.8,75.3,91.6,64.7,91.2,74.2,0.09,-0.09,0.08,0.06,0.00,97.00,97.18,91.67,91.67,152.3,2.9,0.7095068710026705,111.27142866518695,32.769255667931276,-14.404068544271382,0.0
0.350,10.9,44.054541679795769,-78.681911450480911,97.4,-24.4,-9.1,-45.9,8548.6,8549,114.9,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.102,57.136,66.0,0.0,26.0,26.0,26.0,26.0,-0.00,0.68,-0.02,384.8,-2.87,-2.04,-2.21,-1.90,-734.51,680.92,5.7,0.00,0.00,0.00,0.00,0.01,-7.49,-7.49,-0.59,2.45,0.23,6.66,31.93,0.13,-0.25,0.41,100.0,0,0,93.24,0,0,0.0,0,0,0,0,8013,0,30.00,2,114.9,1,0,0.0,0.0,0.0,0.0,0,0,0.372,0.372,57.308,23.012,1,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,166.7,75.6,75.6,79.4,79.4,34.0,-20.87,9.38,-8.7,23.4,5,-354.910,3.7,100.0,20.6,15.9,29.0,31.2,0,1,100.0,0.00,0.00,0.00,0.00,3846,3296,3922,5359,315.4,316.2,345.4,341.1,25.45,22.07,26.09,24.18,325.0,325.0,355.0,355.0,99.94,100.00,99.94,100.00,-0.08,-0.01,0.05,0.24,-0.1,-0.1,3.9,4.0,85.0,64.0,82.8,70.9,98.5,68.2,93.5,77.9,94.4,65.5,91.8,75.3,91.5,64.7,91.2,74.2,0.21,-0.22,0.08,0.07,0.00,98.05,98.05,93.24,93.23,152.3,2.9,0.680294054067798,109.11081838354622,32.409153968550086,-10.803051265947943,5.690236548616667e-07
0.400,12.5,44.054528369836000,-78.681907493465843,-25.9,64.8,42.7,114.4,8550.2,8550,116.0,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.117,57.136,66.0,0.0,26.0,26.0,26.0,26.0,0.02,0.70,0.14,381.5,-2.84,-2.47,-1.39,-0.79,-734.07,679.44,5.7,0.00,0.00,0.00,0.00,0.01,-7.49,-7.49,-0.42,3.40,0.40,-0.20,32.24,0.10,-0.23,1.04,100.0,0,0,93.19,0,0,0.0,0,0,0,0,8009,0,30.00,2,116.0,0,0,0.0,0.0,0.0,0.0,0,0,0.420,0.420,57.308,23.012,0,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,333.3,75.4,75.4,68.8,68.8,34.0,-12.35,12.81,-10.6,19.2,5,-354.960,5.2,100.0,19.3,19.2,31.2,36.9,0,1,100.0,0.00,0.00,0.00,0.00,2576,3898,5245,5831,318.6,314.0,341.9,339.6,25.45,22.08,26.09,24.18,325.0,325.0,355.0,355.0,99.94,100.00,99.94,100.00,-0.07,-0.04,0.02,0.19,-0.1,-0.1,2.8,2.9,85.1,64.0,82.8,70.9,98.4,68.2,93.4,77.9,94.3,65.5,91.7,75.3,91.5,64.6,91.1,74.2,0.28,-0.30,0.07,0.05,0.00,99.02,99.08,93.19,93.19,152.3,2.9,0.714142842854285,110.19112353859215,32.76925572483364,54.01525689876209,14.404068544271311
