"Format","MoTeC CSV File",,,"Workbook",""
"Venue","ks_highlands",,,"Worksheet",""
"Vehicle","bmw_m3_gt2",,,"Vehicle Desc",""
"Driver","jhbae159",,,"Engine ID",""
"Device","ADL"
"Comment","Tires: Slick Medium (M)",,,"Session","PRACTICE"
"Log Date","2021-04-11",,,"Origin Time","309.320","s"
"Log Time","오후 2:05:00",,,"Start Time","309.350","s"
"Sample Rate","20.000","Hz",,"End Time","366.250","s"
"Duration","56.900","s",,"Start Distance","8570.5","m"
"Range","Lap 5",,,"End Distance","10299.4","m"


"Time","Distance","GPS Latitude","GPS Longitude","Damper Velocity (Calc) FL","Damper Velocity (Calc) FR","Damper Velocity (Calc) RL","Damper Velocity (Calc) RR","Corr Dist","Corr Dist (Unstretched)","Corr Speed","ABS Active","ABS Enabled","AID Allow Tire Blankets","AID Auto Blip","AID Auto Clutch","AID Auto Shift","AID Fuel Rate","AID Ideal Line","AID Mech Damage","AID Stability","AID Tire Wear Rate","Air Density","Air Temp","Ballast","Best Lap Delta","Best Lap Time","Brake Bias","Brake Pos","Brake Temp FL","Brake Temp FR","Brake Temp RL","Brake Temp RR","CG Accel Lateral","CG Accel Longitudinal","CG Accel Vertical","CG Height","Camber FL","Camber FR","Camber RL","Camber RR","Car Coord X","Car Coord Y","Car Coord Z","Car Damage Front","Car Damage Left","Car Damage Rear","Car Damage Right","Car Pos Norm","Caster FL","Caster FR","Chassis Pitch Angle","Chassis Pitch Rate","Chassis Roll Angle","Chassis Roll Rate","Chassis Velocity X","Chassis Velocity Y","Chassis Velocity Z","Chassis Yaw Rate","Clutch Pos","DRS Active","DRS Available","Drive Train Speed","ERS Heat Charging","ERS Is Charging","ERS Max Energy","ERS Power Level","ERS Recovery Level","Engine Brake Setting","Engine Limiter","Engine RPM","Flags","Fuel Level","Gear","Ground Speed","HR Sample Clock","In Pit","KERS Charge","KERS Deployed Energy","KERS Input","KERS Max Energy","LR Sample Clock","Lap Invalidated","Lap Time","Lap Time2","Last Lap Time","Last Sector Time","MR Sample Clock","Max Fuel","Max Power","Max RPM","Max Sus Travel FL","Max Sus Travel FR","Max Sus Travel RL","Max Sus Travel RR","Max Torque","Max Turbo Boost","Num Tires Off Track","Penalties Enabled","Position","Raw Data Sample Rate","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Road Temp","Self Align Torque FL","Self Align Torque FR","Self Align Torque RL","Self Align Torque RR","Session Lap Count","Session Time Left","Steering Angle","Surface Grip","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","TC Active","TC Enabled","Throttle Pos","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Tire Pressure FL","Tire Pressure FR","Tire Pressure RL","Tire Pressure RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Rubber Grip FL","Tire Rubber Grip FR","Tire Rubber Grip RL","Tire Rubber Grip RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Temp Core FL","Tire Temp Core FR","Tire Temp Core RL","Tire Temp Core RR","Tire Temp Inner FL","Tire Temp Inner FR","Tire Temp Inner RL","Tire Temp Inner RR","Tire Temp Middle FL","Tire Temp Middle FR","Tire Temp Middle RL","Tire Temp Middle RR","Tire Temp Outer FL","Tire Temp Outer FR","Tire Temp Outer RL","Tire Temp Outer RR","Toe In FL","Toe In FR","Toe In RL","Toe In RR","Turbo Boost","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR","Wind Direction","Wind Speed"
"s","m","deg","deg","mm/s","mm/s","mm/s","mm/s","m","m","km/h","","","","","","","","","%","%","","kg/m3","C","kg","s","s","%","%","C","C","C","C","G","G","G","mm","deg","deg","deg","deg","m","m","m","","","","","","deg","deg","deg","deg/s","deg","deg/s","m/s","m/s","m/s","deg/s","%","","","rad/s","","","MJ","","","","","rpm","","l","","km/h","","","%","kJ","%","MJ","","","s","s","s","s","","l","hp","rpm","mm","mm","mm","mm","N.m","","","","","Hz","mm","mm","mm","mm","C","N.m","N.m","N.m","N.m","","s","deg","%","mm","mm","mm","mm","","","%","","","","","N","N","N","N","mm","mm","mm","mm","psi","psi","psi","psi","mm","mm","mm","mm","%","%","%","%","deg","deg","deg","deg","%","%","%","%","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","deg","deg","deg","deg","","rad/s","rad/s","rad/s","rad/s","deg","km/h"


"0.000","0.0","44.054643572933720","-78.681894183506074","102.8","105.2","-78.0","-258.8","8570.5","8571","129.3","0","1","1","0","1","1","0","0","0","100","1","1.186","26.0","0.0","0.012","53.487","66.0","0.0","26.0","26.0","26.0","26.0","-0.01","0.50","-0.22","388.6","-2.40","-2.35","-1.09","-1.47","-732.59","692.25","5.7","0.00","0.00","0.00","0.00","0.00","-7.49","-7.49","-0.97","-0.81","-0.10","21.58","35.92","-0.06","-0.56","7.64","100.0","0","0","107.29","0","0","0.0","0","0","0","0","7192","0","30.00","3","129.3","1","0","0.0","0.0","0.0","0.0","0","0","0.033","0.033","71.327","38.384","1","110.00","435.8","8750","0.0","0.0","110.0","110.0","433.0","0.00","0","0","1","166.7","70.3","70.3","85.6","85.6","34.0","-6.72","20.58","-16.4","-1.2","5","-325.810","-1.4","100.0","28.1","16.9","29.9","15.4","0","1","100.0","0.00","0.00","0.00","0.00","4846","3189","3275","2335","313.0","316.7","346.7","349.5","26.47","22.65","25.72","24.23","325.0","325.0","355.0","355.0","99.80","99.97","99.87","99.93","0.19","0.27","-0.65","-0.51","-0.1","-0.1","4.7","7.9","91.4","67.6","80.5","71.2","99.3","70.8","84.5","75.0","95.6","68.3","83.1","73.0","91.4","66.9","82.1","71.8","-0.10","0.11","0.08","0.09","0.00","110.52","109.85","106.76","107.82","19.8","15.9"
"0.050","1.8","44.054628644195056","-78.681889866762361","-154.9","91.6","-123.3","208.7","8572.4","8572","130.3","0","1","1","0","1","1","0","0","0","100","1","1.186","26.0","0.0","0.024","53.487","66.0","0.0","26.0","26.0","26.0","26.0","-0.21","0.64","-0.07","387.0","-3.11","-2.25","-1.90","-1.05","-732.11","690.59","5.7","0.00","0.00","0.00","0.00","0.00","-7.49","-7.49","-0.81","5.89","0.75","9.24","36.21","-0.16","-0.42","4.03","100.0","0","0","105.72","0","0","0.0","0","0","0","0","7087","0","30.00","3","130.3","0","0","0.0","0.0","0.0","0.0","0","0","0.081","0.081","71.327","38.384","0","110.00","435.8","8750","0.0","0.0","110.0","110.0","433.0","0.00","0","0","1","166.7","74.1","74.1","81.0","81.0","34.0","-15.45","5.30","-18.1","-12.6","5","-325.850","0.1","100.0","20.4","21.4","23.8","25.8","0","1","100.0","0.00","0.00","0.00","0.00","2359","3931","2898","5646","319.2","314.0","347.8","340.0","26.47","22.65","25.72","24.23","325.0","325.0","355.0","355.0","99.80","99.97","99.87","99.93","-0.20","-0.16","-0.66","-0.43","-0.1","-0.1","4.2","3.9","91.5","67.6","80.5","71.2","99.2","70.8","84.5","75.1","95.5","68.3","83.1","73.0","91.3","66.9","82.1","71.9","-0.01","-0.00","0.08","0.07","0.00","111.37","111.10","105.71","105.71","19.8","15.9"
"0.100","3.6","44.054612636270477","-78.681885280222176","-54.7","27.7","132.1","179.4","8574.2","8574","131.3","0","1","1","0","1","1","0","0","0","100","1","1.186","26.0","0.0","0.030","53.487","66.0","0.0","26.0","26.0","26.0","26.0","-0.17","0.53","0.06","382.3","-3.03","-1.83","-1.90","-0.46","-731.60","688.81","5.7","0.00","0.00","0.00","0.00","0.00","-7.49","-7.49","-0.49","6.24","0.51","-13.62","36.49","-0.13","-0.25","1.22","100.0","0","0","105.14","0","0","0.0","0","0","0","0","7048","0","30.00","3","131.3","1","0","0.0","0.0","0.0","0.0","0","0","0.132","0.132","71.327","38.384","1","110.00","435.8","8750","0.0","0.0","110.0","110.0","433.0","0.00","0","0","1","333.3","74.6","74.6","66.6","66.6","34.0","-14.74","9.88","-34.0","-1.4","5","-325.900","0.5","100.0","17.6","22.8","30.4","34.8","0","1","100.0","0.00","0.00","0.00","0.00","2699","3961","5241","4736","318.5","313.9","342.0","342.4","26.47","22.66","25.72","24.23","325.0","325.0","355.0","355.0","99.80","99.97","99.87","99.93","-0.09","-0.03","-0.27","-0.10","-0.1","-0.1","2.4","2.4","91.5","67.6","80.5","71.2","99.2","70.8","84.5","75.1","95.4","68.2","83.1","73.0","91.2","66.9","82.0","71.9","0.03","-0.02","0.08","0.06","0.00","112.21","112.14","105.13","105.13","19.8","15.9"
"0.150","5.5","44.054597347803174","-78.681880963478463","4.1","-131.1","224.9","-18.5","8576.0","8576","132.2","0","1","1","0","1","1","0","0","0","100","1","1.186","26.0","0.0","0.033","53.487","66.0","0.0","26.0","26.0","26.0","26.0","-0.14","0.54","0.08","381.5","-2.56","-2.52","-1.67","-1.06","-731.12","687.11","5.7","0.00","0.00","0.00","0.00","0.00","-7.49","-7.49","-0.25","2.97","-0.03","-6.27","36.74","-0.10","-0.13","1.26","100.0","0","0","105.42","0","0","0.0","0","0","0","0","7067","0","30.00","3","132.2","0","0","0.0","0.0","0.0","0.0","1","0","0.180","0.180","71.327","38.384","0","110.00","435.8","8750","0.0","0.0","110.0","110.0","433.0","0.00","0","0","1","166.7","80.3","80.3","59.6","59.6","34.0","-16.04","3.75","-41.2","5.6","5","-325.950","0.5","100.0","17.8","16.3","41.6","33.9","0","1","100.0","0.00","0.00","0.00","0.00","3176","1673","6643","5157","317.3","320.2","338.4","341.6","26.47","22.66","25.72","24.23","325.0","325.0","355.0","355.0","99.80","99.97","99.87","99.93","-0.09","-0.09","-0.22","-0.07","-0.1","-0.1","2.1","2.1","91.5","67.6","80.5","71.2","99.1","70.7","84.5","75.1","95.4","68.2","83.1","73.0","91.2","66.9","82.0","71.9","0.04","-0.04","0.06","0.06","0.00","112.93","112.70","105.42","105.42","19.8","15.9"
"0.200","7.3","44.054581070082108","-78.681876376938277","-59.4","-6.2","59.5","77.4","8577.9","8578","133.2","0","1","1","0","1","1","0","0","0","100","1","1.186","26.0","0.0","0.036","53.487","66.0","0.0","26.0","26.0","26.0","26.0","-0.09","0.46","0.19","380.6","-1.87","-2.45","-1.53","-1.75","-730.61","685.30","5.7","0.00","0.00","0.00","0.00","0.01","-7.49","-7.49","-0.33","-4.22","-0.20","-2.79","37.00","-0.07","-0.22","0.89","100.0","0","0","106.20","0","0","0.0","0","0","0","0","7119","0","30.00","3","133.2","1","0","0.0","0.0","0.0","0.0","1","0","0.231","0.231","71.327","38.384","1","110.00","435.8","8750","0.0","0.0","110.0","110.0","433.0","0.00","0","0","1","333.3","79.1","79.1","55.4","55.4","34.0","-15.32","10.83","-29.2","10.2","5","-326.000","1.9","100.0","14.9","16.0","44.6","37.8","0","1","100.0","0.00","0.00","0.00","0.00","3067","3782","5648","4141","317.4","314.4","340.7","344.0","26.47","22.66","25.72","24.23","325.0","325.0","355.0","355.0","99.80","99.97","99.87","99.93","-0.18","-0.07","-0.17","-0.05","-0.0","-0.1","2.1","2.2","91.5","67.6","80.5","71.2","99.0","70.7","84.5","75.1","95.3","68.1","83.1","73.0","91.1","66.8","82.0","71.9","0.10","-0.10","0.05","0.07","0.00","113.43","113.41","106.20","106.20","19.8","15.9"
"0.250","9.2","44.054564702428877","-78.681871880330249","84.3","27.8","-95.2","-112.7","8579.7","8580","134.0","0","1","1","0","1","1","0","0","0","100","1","1.186","26.0","0.0","0.039","53.487","66.0","0.0","26.0","26.0","26.0","26.0","-0.21","0.51","0.02","382.6","-2.84","-2.88","-1.50","-0.45","-730.11","683.48","5.7","0.00","0.00","0.00","0.00","0.01","-7.49","-7.49","-0.51","-2.24","-0.22","2.36","37.24","-0.04","-0.34","2.37","100.0","0","0","107.52","0","0","0.0","0","0","0","0","7208","0","30.00","3","134.0","0","0","0.0","0.0","0.0","0.0","1","0","0.282","0.282","71.327","38.384","0","110.00","435.8","8750","0.0","0.0","110.0","110.0","433.0","0.00","0","0","1","333.3","75.8","75.8","66.6","66.6","34.0","-36.22","2.34","-21.8","-1.3","5","-326.060","6.0","100.0","19.1","17.3","39.8","32.1","0","1","100.0","0.00","0.00","0.00","0.00","4148","3301","4524","3820","314.9","316.3","343.6","344.8","26.47","22.66","25.72","24.23","325.0","325.0","355.0","355.0","99.80","99.97","99.87","99.93","-0.35","-0.28","-0.22","-0.11","-0.1","-0.1","2.7","2.9","91.5","67.6","80.5","71.2","98.9","70.7","84.5","75.0","95.2","68.1","83.1","73.0","91.0","66.8","82.0","71.8","0.31","-0.33","0.06","0.07","0.00","114.24","114.03","107.52","107.52","19.8","15.9"
"0.300","11.1","44.054549144165094","-78.681867563586536","81.8","72.0","-159.8","28.1","8581.6","8582","134.8","0","1","1","0","1","1","0","0","0","100","1","1.186","26.0","0.0","0.045","53.487","66.0","0.0","26.0","26.0","26.0","26.0","-0.15","0.50","-0.16","383.4","-1.74","-2.55","-2.12","-2.42","-729.63","681.75","5.7","0.00","0.00","0.00","0.00","0.01","-7.49","-7.49","-0.49","2.67","-0.25","-3.87","37.46","-0.05","-0.37","4.19","100.0","0","0","108.53","0","0","0.0","0","0","0","0","7275","0","30.00","3","134.8","1","0","0.0","0.0","0.0","0.0","1","0","0.330","0.330","71.327","38.384","1","110.00","435.8","8750","0.0","0.0","110.0","110.0","433.0","0.00","0","0","1","333.3","73.3","73.3","75.6","75.6","34.0","-31.06","-3.26","-25.6","7.9","5","-326.100","10.3","100.0","23.2","20.9","31.8","33.5","0","1","100.0","0.00","0.00","0.00","0.00","3841","2244","4495","3573","315.7","318.8","344.1","345.3","26.47","22.66","25.72","24.23","325.0","325.0","355.0","355.0","99.80","99.97","99.87","99.93","-0.45","-0.43","-0.24","-0.13","-0.1","-0.0","2.7","3.1","91.5","67.6","80.5","71.2","98.9","70.6","84.5","75.0","95.2","68.1","83.0","73.0","91.0","66.8","82.0","71.8","0.57","-0.56","0.08","0.06","0.00","115.12","114.77","108.53","108.53","19.8","15.9"
