"Format","MoTeC CSV File",,,"Workbook",""
"Venue","ks_highlands",,,"Worksheet",""
"Vehicle","bmw_m3_gt2",,,"Vehicle Desc",""
"Driver","jhbae159",,,"Engine ID",""
"Device","ADL"
"Comment","Tires: Slick Medium (M)",,,"Session","PRACTICE"
"Log Date","2021-04-11",,,"Origin Time","156.741","s"
"Log Time","오후 2:32:00",,,"Start Time","156.750","s"
"Sample Rate","20.000","Hz",,"End Time","216.550","s"
"Duration","59.800","s",,"Start Distance","1800.3","m"
"Range","Lap 1",,,"End Distance","3515.1","m"


"Time","Distance","GPS Latitude","GPS Longitude","Damper Velocity (Calc) FL","Damper Velocity (Calc) FR","Damper Velocity (Calc) RL","Damper Velocity (Calc) RR","Corr Dist","Corr Dist (Unstretched)","Corr Speed","ABS Active","ABS Enabled","AID Allow Tire Blankets","AID Auto Blip","AID Auto Clutch","AID Auto Shift","AID Fuel Rate","AID Ideal Line","AID Mech Damage","AID Stability","AID Tire Wear Rate","Air Density","Air Temp","Ballast","Best Lap Delta","Best Lap Time","Brake Bias","Brake Pos","Brake Temp FL","Brake Temp FR","Brake Temp RL","Brake Temp RR","CG Accel Lateral","CG Accel Longitudinal","CG Accel Vertical","CG Height","Camber FL","Camber FR","Camber RL","Camber RR","Car Coord X","Car Coord Y","Car Coord Z","Car Damage Front","Car Damage Left","Car Damage Rear","Car Damage Right","Car Pos Norm","Caster FL","Caster FR","Chassis Pitch Angle","Chassis Pitch Rate","Chassis Roll Angle","Chassis Roll Rate","Chassis Velocity X","Chassis Velocity Y","Chassis Velocity Z","Chassis Yaw Rate","Clutch Pos","DRS Active","DRS Available","Drive Train Speed","ERS Heat Charging","ERS Is Charging","ERS Max Energy","ERS Power Level","ERS Recovery Level","Engine Brake Setting","Engine Limiter","Engine RPM","Flags","Fuel Level","Gear","Ground Speed","HR Sample Clock","In Pit","KERS Charge","KERS Deployed Energy","KERS Input","KERS Max Energy","LR Sample Clock","Lap Invalidated","Lap Time","Lap Time2","Last Lap Time","Last Sector Time","MR Sample Clock","Max Fuel","Max Power","Max RPM","Max Sus Travel FL","Max Sus Travel FR","Max Sus Travel RL","Max Sus Travel RR","Max Torque","Max Turbo Boost","Num Tires Off Track","Penalties Enabled","Position","Raw Data Sample Rate","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Road Temp","Self Align Torque FL","Self Align Torque FR","Self Align Torque RL","Self Align Torque RR","Session Lap Count","Session Time Left","Steering Angle","Surface Grip","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","TC Active","TC Enabled","Throttle Pos","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Tire Pressure FL","Tire Pressure FR","Tire Pressure RL","Tire Pressure RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Rubber Grip FL","Tire Rubber Grip FR","Tire Rubber Grip RL","Tire Rubber Grip RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Temp Core FL","Tire Temp Core FR","Tire Temp Core RL","Tire Temp Core RR","Tire Temp Inner FL","Tire Temp Inner FR","Tire Temp Inner RL","Tire Temp Inner RR","Tire Temp Middle FL","Tire Temp Middle FR","Tire Temp Middle RL","Tire Temp Middle RR","Tire Temp Outer FL","Tire Temp Outer FR","Tire Temp Outer RL","Tire Temp Outer RR","Toe In FL","Toe In FR","Toe In RL","Toe In RR","Turbo Boost","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR","Wind Direction","Wind Speed"
"s","m","deg","deg","mm/s","mm/s","mm/s","mm/s","m","m","km/h","","","","","","","","","%","%","","kg/m3","C","kg","s","s","%","%","C","C","C","C","G","G","G","mm","deg","deg","deg","deg","m","m","m","","","","","","deg","deg","deg","deg/s","deg","deg/s","m/s","m/s","m/s","deg/s","%","","","rad/s","","","MJ","","","","","rpm","","l","","km/h","","","%","kJ","%","MJ","","","s","s","s","s","","l","hp","rpm","mm","mm","mm","mm","N.m","","","","","Hz","mm","mm","mm","mm","C","N.m","N.m","N.m","N.m","","s","deg","%","mm","mm","mm","mm","","","%","","","","","N","N","N","N","mm","mm","mm","mm","psi","psi","psi","psi","mm","mm","mm","mm","%","%","%","%","deg","deg","deg","deg","%","%","%","%","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","deg","deg","deg","deg","","rad/s","rad/s","rad/s","rad/s","deg","km/h"


"0.000","0.0","44.054636288428711","-78.681943376397911","-48.4","-107.2","62.1","104.7","1800.3","1800","115.6","0","1","1","0","1","1","0","0","0","100","1","1.186","26.0","0.0","0.00","172.040","66.0","0.0","26.0","26.0","26.0","26.0","-0.02","0.41","0.02","384.7","-2.54","-2.28","-1.88","-1.87","-738.06","691.44","5.7","0.00","0.00","0.00","0.00","0.00","-7.49","-7.49","-0.34","-3.46","0.06","1.77","32.11","-0.00","-0.24","-0.44","100.0","0","0","92.00","0","0","0.0","0","0","0","0","6167","0","30.00","3","115.6","1","0","0.0","0.0","0.0","0.0","1","0","0.010","0.010","172.040","20.925","1","110.00","435.8","8750","0.0","0.0","110.0","110.0","433.0","0.00","0","0","1","333.3","81.3","81.3","71.8","71.8","34.0","-10.95","5.85","-21.2","16.9","1","-174.533","-1.8","100.0","17.3","13.2","35.2","36.6","0","1","77.0","0.00","0.00","0.00","0.00","3028","1764","4596","4437","317.0","319.9","342.4","342.4","22.91","20.50","23.16","22.51","325.0","325.0","355.0","355.0","99.82","99.68","99.85","99.80","0.01","0.04","-0.10","0.03","-0.0","-0.1","1.9","1.9","69.2","54.1","64.5","60.5","100.0","66.1","78.9","66.4","94.2","63.3","77.0","64.8","92.5","63.0","77.4","64.9","-0.08","0.09","0.07","0.04","0.00","98.37","98.34","92.00","91.99","13.4","28.7"
"0.050","1.6","44.054621539554375","-78.681938340196922","30.2","135.1","-72.6","-58.1","1802.0","1802","116.3","0","1","1","0","1","1","0","0","0","100","1","1.186","26.0","0.0","0.05","172.040","66.0","0.0","26.0","26.0","26.0","26.0","0.02","0.41","0.04","383.4","-2.91","-2.65","-1.60","-2.07","-737.50","689.80","5.7","0.00","0.00","0.00","0.00","0.00","-7.49","-7.49","-0.49","-1.01","0.22","0.77","32.32","0.01","-0.35","-0.95","100.0","0","0","93.22","0","0","0.0","0","0","0","0","6249","0","30.00","3","116.3","0","0","0.0","0.0","0.0","0.0","1","0","0.063","0.063","172.040","20.925","0","110.00","435.8","8750","0.0","0.0","110.0","110.0","433.0","0.00","0","0","1","166.7","72.7","72.7","74.0","74.0","34.0","-13.92","21.64","-7.7","17.7","1","-174.589","-1.5","100.0","18.8","20.0","31.6","33.7","0","1","76.2","0.00","0.00","0.00","0.00","3402","4026","2916","3963","315.2","312.8","346.7","343.4","22.92","20.50","23.17","22.51","325.0","325.0","355.0","355.0","99.82","99.68","99.85","99.80","0.03","0.10","-0.03","0.11","-0.1","-0.1","2.6","2.5","69.2","54.2","64.5","60.5","99.9","66.1","78.9","66.4","94.1","63.2","77.0","64.8","92.5","63.0","77.4","64.9","-0.10","0.10","0.08","0.06","0.00","99.09","99.20","93.22","93.22","13.4","28.7"
"0.100","3.2","44.054608229594606","-78.681933933521051","15.6","2.0","-35.3","-112.6","1803.6","1804","117.0","0","1","1","0","1","1","0","0","0","100","1","1.186","26.0","0.0","0.10","172.040","66.0","0.0","26.0","26.0","26.0","26.0","-0.02","0.48","0.05","383.6","-3.04","-2.23","-2.37","-0.35","-737.01","688.32","5.7","0.00","0.00","0.00","0.00","0.00","-7.49","-7.49","-0.45","2.92","0.26","2.37","32.52","0.04","-0.30","-0.81","100.0","0","0","93.63","0","0","0.0","0","0","0","0","6277","0","30.00","3","117.0","1","0","0.0","0.0","0.0","0.0","1","0","0.110","0.110","172.040","20.925","1","110.00","435.8","8750","0.0","0.0","110.0","110.0","433.0","0.00","0","0","1","333.3","73.2","73.2","73.0","73.0","34.0","-18.54","13.04","-19.2","11.9","1","-174.644","-0.3","100.0","19.6","20.1","29.8","28.0","0","1","76.2","0.00","0.00","0.00","0.00","3745","3248","4594","5539","314.5","315.1","342.4","341.1","22.93","20.51","23.17","22.52","325.0","325.0","355.0","355.0","99.82","99.68","99.85","99.80","-0.02","0.05","-0.03","0.15","-0.1","-0.1","2.7","2.6","69.3","54.2","64.6","60.5","99.8","66.1","78.9","66.4","94.0","63.2","77.0","64.8","92.4","62.9","77.4","64.9","-0.03","0.03","0.09","0.07","0.00","99.90","99.88","93.63","93.63","13.4","28.7"
"0.150","4.9","44.054594919634837","-78.681929346980866","-54.9","-22.1","25.9","147.3","1805.2","1805","117.8","0","1","1","0","1","1","0","0","0","100","1","1.186","26.0","0.0","0.10","172.040","66.0","0.0","26.0","26.0","26.0","26.0","0.06","0.36","-0.15","385.9","-2.74","-2.40","-1.99","-1.73","-736.50","686.84","5.7","0.00","0.00","0.00","0.00","0.00","-7.49","-7.49","-0.36","0.40","0.27","-2.33","32.72","0.05","-0.28","-0.57","100.0","0","0","94.15","0","0","0.0","0","0","0","0","6311","0","30.00","3","117.8","0","0","0.0","0.0","0.0","0.0","1","0","0.160","0.160","172.040","20.925","0","110.00","435.8","8750","0.0","0.0","110.0","110.0","433.0","0.00","0","0","1","166.7","79.6","79.6","70.9","70.9","34.0","-3.11","10.40","-9.9","21.0","1","-174.689","1.3","100.0","16.9","19.0","31.1","35.4","0","1","76.2","0.00","0.00","0.00","0.00","1203","2786","3526","4115","321.6","316.6","345.0","343.2","22.94","20.51","23.17","22.52","325.0","325.0","355.0","355.0","99.82","99.68","99.85","99.80","0.06","0.02","0.05","0.19","-0.0","-0.1","2.1","2.0","69.4","54.2","64.6","60.5","99.8","66.1","78.9","66.4","94.0","63.2","76.9","64.8","92.3","62.9","77.3","64.9","0.07","-0.08","0.09","0.07","0.00","100.28","100.46","94.15","94.15","13.4","28.7"
"0.200","6.5","44.054580620421305","-78.681924580576350","-56.9","-25.3","71.3","-52.2","1806.9","1807","118.5","0","1","1","0","1","1","0","0","0","100","1","1.186","26.0","0.0","0.14","172.040","66.0","0.0","26.0","26.0","26.0","26.0","-0.04","0.38","0.03","384.4","-3.63","-2.54","-2.16","-2.00","-735.97","685.25","5.7","0.00","0.00","0.00","0.00","0.01","-7.49","-7.49","-0.45","-2.80","0.06","-3.76","32.94","0.04","-0.29","0.55","100.0","0","0","94.60","0","0","0.0","0","0","0","0","6342","0","30.00","3","118.5","1","0","0.0","0.0","0.0","0.0","1","0","0.210","0.210","172.040","20.925","1","110.00","435.8","8750","0.0","0.0","110.0","110.0","433.0","0.00","0","0","1","333.3","77.8","77.8","66.3","66.3","34.0","-25.26","10.29","-18.1","17.3","1","-174.744","3.5","100.0","14.0","17.7","34.7","32.8","0","1","75.0","0.00","0.00","0.00","0.00","3666","3122","4789","3539","315.5","314.9","342.2","344.9","22.95","20.52","23.18","22.52","325.0","325.0","355.0","355.0","99.82","99.68","99.85","99.80","-0.13","-0.05","0.00","0.15","-0.1","-0.1","2.2","2.1","69.4","54.2","64.6","60.5","99.7","66.0","78.8","66.4","93.9","63.2","76.9","64.8","92.3","62.9","77.3","64.9","0.19","-0.20","0.07","0.06","0.00","101.03","100.95","94.60","94.60","13.4","28.7"
"0.250","8.2","44.054566231275608","-78.681919724239677","20.5","-57.5","-112.4","-61.0","1808.5","1809","119.2","0","1","1","0","1","1","0","0","0","100","1","1.186","26.0","0.0","0.20","172.040","66.0","0.0","26.0","26.0","26.0","26.0","-0.05","0.39","-0.26","389.1","-3.00","-2.91","-2.02","-1.89","-735.43","683.65","5.7","0.00","0.00","0.00","0.00","0.01","-7.49","-7.49","-0.62","-3.56","0.04","-1.50","33.13","0.02","-0.30","1.51","100.0","0","0","95.82","0","0","0.0","0","0","0","0","6424","0","30.00","3","119.2","0","0","0.0","0.0","0.0","0.0","0","0","0.260","0.260","172.040","20.925","0","110.00","435.8","8750","0.0","0.0","110.0","110.0","433.0","0.00","0","0","1","333.3","80.3","80.3","77.5","77.5","34.0","-17.38","7.17","-11.4","10.4","1","-174.789","4.8","100.0","15.0","14.8","29.0","29.8","0","1","68.8","0.00","0.00","0.00","0.00","2771","2898","3312","3315","317.7","316.6","346.1","346.0","22.95","20.52","23.18","22.52","325.0","325.0","355.0","355.0","99.82","99.68","99.85","99.80","-0.19","-0.14","-0.06","0.07","-0.1","-0.1","2.8","3.0","69.5","54.2","64.7","60.5","99.6","66.0","78.8","66.4","93.8","63.1","76.9","64.8","92.2","62.9","77.3","64.9","0.28","-0.29","0.08","0.08","0.00","101.54","101.48","95.82","95.82","13.4","28.7"
"0.300","9.8","44.054552651519359","-78.681915137699491","81.2","37.1","28.0","-14.6","1810.2","1810","119.9","0","1","1","0","1","1","0","0","0","100","1","1.186","26.0","0.0","0.24","172.040","66.0","0.0","26.0","26.0","26.0","26.0","-0.14","0.28","0.05","385.4","-1.92","-2.12","-1.29","-1.76","-734.92","682.14","5.7","0.00","0.00","0.00","0.00","0.01","-7.49","-7.49","-0.74","-1.69","-0.11","-1.44","33.32","0.01","-0.37","2.42","100.0","0","0","95.45","0","0","0.0","0","0","0","0","6399","0","30.00","3","119.9","1","0","0.0","0.0","0.0","0.0","0","0","0.310","0.310","172.040","20.925","1","110.00","435.8","8750","0.0","0.0","110.0","110.0","433.0","0.00","0","0","1","333.3","74.1","74.1","76.6","76.6","34.0","-30.71","4.44","-18.2","7.1","1","-174.833","5.2","100.0","19.1","16.7","30.4","29.0","0","1","52.3","0.00","0.00","0.00","0.00","4777","3056","4365","2560","311.9","315.8","342.9","347.6","22.96","20.52","23.19","22.52","325.0","325.0","355.0","355.0","99.82","99.68","99.85","99.80","-0.24","-0.13","-0.15","0.00","-0.1","-0.1","1.8","1.9","69.5","54.3","64.7","60.5","99.6","66.0","78.8","66.4","93.8","63.1","76.9","64.8","92.1","62.8","77.3","64.9","0.31","-0.31","0.08","0.07","0.00","102.45","102.08","95.45","95.45","13.4","28.7"
